# ('runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsROOT_norm', 'rmsROOT_norm_error', 'rmsfrac', 'rmsfrac_norm', 'rmsfrac_norm_error', 'gauss_mu', 'gauss_si', 'gauss_si_dev', 'gauss_height', 'gauss_chi2red', 'gauss_si_norm', 'gauss_si_norm_error', 'combined_mu', 'combined_si_g', 'combined_si_g_dev', 'combined_nu_s', 'combined_si_s', 'combined_si_s_dev', 'combined_frac', 'combined_height', 'combined_chi2red', 'combined_si_g_norm', 'combined_si_s_norm', 'combined_si_g_norm_error', 'combined_si_s_norm_error', 'combined_one_mu', 'combined_one_si', 'combined_one_si_dev', 'combined_one_nu_s', 'combined_one_frac', 'combined_one_height', 'combined_one_chi2red', 'combined_one_si_norm', 'combined_one_si_norm_error')
1.500000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000000e+06,6.738166000000000000e+06,7.559543334736598119e-01,3.341315593572138920e-01,6.585664863953806514e-02,5.282405109348293770e-01,2.502666841216014126e-01,4.232915305461413397e-02,-1.249142328752213997e-03,5.224546881192901893e-01,4.738351404210787259e-03,3.277099531635259045e+05,8.477634113411129420e+02,2.467121898842569716e-01,1.290469845703254292e-02,-9.958889340139962486e-04,5.052850081449175024e-01,7.305585938664470877e-04,2.475287261373154024e+00,4.464573460557763052e-01,1.284991728672263238e-03,4.414545631930790193e-01,3.367857828448695363e+05,1.278032597071231180e+00,2.357565327746008743e-01,2.156268857872300770e-01,1.993981096064836346e-03,3.497742491047199295e-03,-9.903552909412303637e-04,4.865418159581613167e-01,3.008562912557323217e-04,2.623572038844679266e+00,4.120403183249471413e-01,3.367403075730226701e+05,1.702199128333870215e+00,2.269538523193325441e-01,8.392761323702187552e-04
1.700000000000000000e+01,5.000000000000000278e-02,2.000000000000000000e+00,2.000000000000000000e+06,1.081169400000000000e+07,5.261396555291428800e-01,1.979919323588935631e-01,5.527833878532974199e-02,3.286363405953706684e-01,1.372562535631061953e-01,3.061090721102975934e-02,-5.567290967362161126e-05,3.243027181601459974e-01,3.397590198099238647e-03,5.263716662536041113e+05,1.874016066359585238e+03,1.344282343156580073e-01,1.071948673068529208e-02,1.661590423819739944e-04,3.073146217302862859e-01,3.644631907429295723e-04,2.181452803050857980e+00,2.947950518375769824e-01,1.258490276258239721e-03,3.382129009210501080e-01,5.403836479705929523e+05,2.040715304074780967e+00,1.235217829897199832e-01,1.293683678441703566e-01,1.227762605817300486e-03,3.904426020187849993e-03,1.663113041020882518e-04,3.048456756389765210e-01,1.536889274928685553e-04,2.209134427399674916e+00,3.254929173502632556e-01,5.403768851680855732e+05,2.097244530607228263e+00,1.243377765940740926e-01,5.201243737623503435e-04
1.800000000000000000e+01,5.000000000000000278e-02,3.000000000000000000e+00,2.000000000000000000e+06,1.290417000000000000e+07,4.472590345494495412e-01,1.184647348397313837e-01,6.917426794870484841e-02,2.603984220208215850e-01,1.003381201374179688e-01,2.662798714359377455e-02,9.092893574900481988e-05,2.563822375232515105e-01,2.877894027802086786e-03,6.290780784996863222e+05,2.623214295040861089e+03,9.362159350839291405e-02,1.015798083716673919e-02,2.672949500183379834e-04,2.416665732022997559e-01,2.449690155214469126e-04,2.076587437585906137e+00,2.437193749762779915e-01,1.289010245850846130e-03,2.878048773500353485e-01,6.449845537113074679e+05,2.185283833395446518e+00,8.487090896949039953e-02,8.504245397283664853e-02,9.620198812717873629e-04,5.365773819846137056e-03,2.675234591599346084e-04,2.419718277937383255e-01,1.103637838661372558e-04,2.072075737291719122e+00,2.903252637966624028e-01,6.449845170060293749e+05,2.186354706110603008e+00,8.497229125029806540e-02,4.396100429683033411e-04
1.900000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+00,2.000000000000000000e+06,1.250753400000000000e+07,4.014346783312015554e-01,1.278413320524695862e-01,5.084086761412959232e-02,2.252501772194043239e-01,7.366141957403564422e-02,2.770461835054716798e-02,1.356422768089647743e-04,2.241307411188840359e-01,2.283525644985776384e-03,6.107470884181085275e+05,2.087088058941611507e+03,7.081282051577726666e-02,9.480480932861483703e-03,3.935675783133586216e-04,2.129262832810208395e-01,1.852980218383608454e-04,2.014616608109567775e+00,2.169763209467266696e-01,1.236921298896026837e-03,2.521869444103521651e-01,6.251863131187672261e+05,1.840504645537754946e+00,6.451246085083589543e-02,6.534033953480668233e-02,8.415312366549861523e-04,5.934938375946232324e-03,3.943095635581672772e-04,2.134210138781337807e-01,8.818166423029937255e-05,2.005328417916233175e+00,2.573289427686872299e-01,6.251858378845053958e+05,1.848340923687772586e+00,6.474753774359803815e-02,4.037003280111880360e-04
2.000000000000000000e+01,5.000000000000000278e-02,5.000000000000000000e+00,2.000000000000000000e+06,8.928664000000000000e+06,3.652783268150424090e-01,1.372079731916125145e-01,3.845735323841941583e-02,2.046095911645088028e-01,6.306988468840096784e-02,2.685760543644310008e-02,2.736341349872066096e-04,2.059346017591319189e-01,1.754607730563737802e-03,4.369231120473334449e+05,1.019499254825514072e+03,5.891519605052941699e-02,7.873080286281150877e-03,6.219792630411922780e-04,1.986808167901153999e-01,1.829390298839260270e-04,1.957600829519607011e+00,1.950524661057403131e-01,1.287509703850350882e-03,2.240361715881268034e-01,4.462708220065342030e+05,1.712996231679005943e+00,5.287777093539595269e-02,5.283727442572550004e-02,9.629917735352652025e-04,6.964065494433238461e-03,6.214781025321680467e-04,1.982914964952652015e-01,9.022083715782566000e-05,1.966542076127381078e+00,2.196388263726144485e-01,4.462699381215025787e+05,1.717721039646601833e+00,5.275213593905173776e-02,4.784789318386346922e-04
2.200000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e+00,2.000000000000000000e+06,9.216024000000000000e+06,3.834916493770894608e-01,1.801766272536864666e-01,3.104383657857917242e-02,2.146294903909755636e-01,9.043530120252062099e-02,1.978591026318402002e-02,-5.386649667335855493e-04,2.147068006167618670e-01,2.012046784458979953e-03,4.504911462078169570e+05,1.293409802954477300e+03,8.462239866055552839e-02,6.154174403769321032e-03,-2.634877291954730669e-04,2.055830190543039560e-01,1.971729055422918018e-04,1.950697876413103105e+00,2.067096209049138489e-01,1.432042815144132222e-03,2.316986597171378504e-01,4.606262806454181555e+05,1.838498376207829077e+00,7.474201912037901907e-02,8.645912565751311119e-02,7.223595691518704901e-04,4.625813527742878364e-03,-2.635326758511693786e-04,2.057067641464623564e-01,9.645959432075177080e-05,1.948124523355779347e+00,2.330586041760714933e-01,4.606263308909953921e+05,1.838099302730944684e+00,7.601672894441534323e-02,3.507145341566881365e-04
2.300000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+00,2.000000000000000000e+06,1.327329400000000000e+07,4.348257925074197616e-01,2.103974216661891328e-01,3.395783768036925165e-02,2.378537583197687655e-01,1.061262113859155753e-01,2.048970519203888868e-02,3.284408953756452559e-04,2.358383035372305925e-01,2.523046841598750901e-03,6.472002225050013512e+05,2.438941013101574299e+03,1.019782910732395936e-01,7.224647065152769304e-03,5.738413764701023358e-04,2.229688307140877679e-01,1.974407002403902832e-04,2.014077359167652403e+00,2.281528816515290825e-01,1.229446861010929145e-03,2.671519663810519862e-01,6.634672205291378777e+05,1.891546487386584596e+00,9.240863035003080150e-02,9.614766520744807976e-02,6.243429084446356584e-04,4.121524213394821452e-03,5.737705508949797299e-04,2.236517647825000121e-01,9.249076670310847582e-05,2.002577534057073727e+00,2.736431969041120960e-01,6.634662283535668394e+05,1.905540487365748659e+00,9.307967753175123982e-02,2.955805609540275176e-04
2.400000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+00,2.000000000000000000e+06,1.461215400000000000e+07,4.859380677641064739e-01,2.238951877929838408e-01,4.027738943849844960e-02,2.777626183335607513e-01,1.393286485446993683e-01,2.074924361745770010e-02,2.970295965056765370e-04,2.733641106207826410e-01,3.101807868060724258e-03,7.108284077827549772e+05,3.002519629831660041e+03,1.332707320799030037e-01,7.794196504101361112e-03,4.719927492426801222e-04,2.561117376453838079e-01,2.598730418279156804e-04,2.084077247401767696e+00,2.617436000523456485e-01,1.300487421002949427e-03,3.060937924015995626e-01,7.303645822794152191e+05,2.270387976322739476e+00,1.199731667736703977e-01,1.278389510566193821e-01,7.262319910479338560e-04,3.713762760782894808e-03,4.717560846425624776e-04,2.570142570913026558e-01,1.149348825452304126e-04,2.072358559019386259e+00,3.128663555353700665e-01,7.303633564379902091e+05,2.286302168735238283e+00,1.213517745345207011e-01,3.249335362256135142e-04
2.600000000000000000e+01,1.000000000000000056e-01,2.000000000000000000e+00,2.000000000000000000e+06,1.269651600000000000e+07,5.802072828256603643e-01,3.146718277870127478e-01,3.928446563505254979e-02,3.610679232760872770e-01,2.029962561259927856e-01,2.334191046867780187e-02,2.186955515506051884e-04,3.530364921186733840e-01,3.866908792157374916e-03,6.171311090636566514e+05,2.416046297266572765e+03,1.937355464095954216e-01,8.522360584642956968e-03,3.961409994403711872e-04,3.308284623158577187e-01,3.833949306924274857e-04,2.191731786986408359e+00,3.248492785451623233e-01,1.311652560869232308e-03,3.544883021620747754e-01,6.346098155761994421e+05,2.075546489700224040e+00,1.739621384727303988e-01,1.880401706605727419e-01,9.365118342477455433e-04,2.908174716363894335e-03,3.955763745123293739e-04,3.295943753426702760e-01,1.559827371312836231e-04,2.203575596643086332e+00,3.486161350497414269e-01,6.346080497591097374e+05,2.087528099911396318e+00,1.765260575385368402e-01,3.854784247522102629e-04
2.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00,2.000000000000000000e+06,7.386946000000000000e+06,8.373568204288099892e-01,4.912671262964013463e-01,5.120393486307951020e-02,5.896158479939267449e-01,3.622736865880947787e-01,3.391072931755831354e-02,-6.702657848467770537e-04,5.807890144254788112e-01,5.168569339631540367e-03,3.590112876227136585e+05,8.978891963447730404e+02,3.538698670090177911e-01,1.019631005451525872e-02,-6.839990190135685464e-05,5.577043617165530209e-01,7.958817239940130890e-04,2.477236145241980658e+00,4.999810737759302626e-01,1.386752746767243739e-03,4.493527624734005577e-01,3.692249998402614146e+05,1.274793827197542084e+00,3.336200808817716967e-01,3.116919411233857740e-01,1.591011236973093306e-03,2.723157851930222036e-03,-7.162013611943880882e-05,5.390881673456155987e-01,3.138586273975754368e-04,2.601268955264226079e+00,4.216796055335556570e-01,3.691862573543731123e+05,1.633215498814236666e+00,3.246554551809880396e-01,6.422942221683487817e-04
