# ('runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsROOT_norm', 'rmsROOT_norm_error', 'rmsfrac', 'rmsfrac_norm', 'rmsfrac_norm_error', 'gauss_mu', 'gauss_si', 'gauss_si_dev', 'gauss_height', 'gauss_chi2red', 'gauss_si_norm', 'gauss_si_norm_error', 'combined_mu', 'combined_si_g', 'combined_si_g_dev', 'combined_nu_s', 'combined_si_s', 'combined_si_s_dev', 'combined_frac', 'combined_height', 'combined_chi2red', 'combined_si_g_norm', 'combined_si_s_norm', 'combined_si_g_norm_error', 'combined_si_s_norm_error', 'combined_one_mu', 'combined_one_si', 'combined_one_si_dev', 'combined_one_nu_s', 'combined_one_frac', 'combined_one_height', 'combined_one_chi2red', 'combined_one_si_norm', 'combined_one_si_norm_error')
3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000000e+06,7.342198000000000000e+06,9.760468527836235753e-01,7.020287768244936055e-01,4.520472324345716636e-02,6.966768597255462714e-01,5.186077734334304523e-01,3.074097495982918565e-02,2.503894694809121694e-03,6.856763021073120079e-01,5.676740181630429878e-03,3.567574172983193421e+05,7.725694085964453279e+02,5.079960578303917007e-01,8.616314785947591648e-03,2.602193511774388100e-03,6.552903118141902850e-01,8.983339080430670278e-04,2.553207859880512132e+00,5.941151182865185287e-01,1.468638447141175840e-03,4.675948035740872810e-01,3.670123677736970712e+05,1.024037903947530026e+00,4.792427318670892666e-01,4.473740781535469058e-01,1.370288041497547040e-03,2.236417235841801909e-03,2.598155983038484378e-03,6.344845370579500488e-01,3.362905381404391052e-04,2.669016190022580837e+00,4.424998697953069215e-01,3.669814714148123167e+05,1.306204964018567560e+00,4.662142642309019536e-01,5.270692356833300753e-04
3.200000000000000000e+01,2.000000000000000111e-01,2.000000000000000000e+00,2.000000000000000000e+06,1.315630400000000000e+07,6.615916845503123644e-01,4.473046224051385744e-01,3.340306586733429034e-02,4.160411939053166308e-01,2.897027956517239100e-01,2.016260502830753698e-02,-5.893432199017010001e-04,4.048672747085109158e-01,4.365930887917784074e-03,6.386106722850982333e+05,2.415787505483298446e+03,2.771573692057694438e-01,7.204297079903894396e-03,-4.776554472907661728e-04,3.761285466927061782e-01,4.090863926700681391e-04,2.247833248192444344e+00,3.759580759607032974e-01,1.328579394572671282e-03,3.758956982255177715e-01,6.576338353021956282e+05,1.651485639655467130e+00,2.495757155271677852e-01,2.667892930588085521e-01,7.402281900442251499e-04,2.270685841199448791e-03,-4.776694348348124817e-04,3.760905700165839693e-01,1.590637353020931712e-04,2.248144186427693647e+00,3.757432285272521155e-01,6.576338232855098322e+05,1.650666813046989034e+00,2.529290682938061252e-01,2.949669847266812948e-04
3.300000000000000000e+01,2.000000000000000111e-01,3.000000000000000000e+00,2.000000000000000000e+06,1.529010400000000000e+07,5.522435113221128011e-01,3.449146926588061435e-01,3.107039485927746286e-02,3.132624276163139543e-01,2.009819611752342305e-01,1.699549998951056795e-02,-1.187535718318445069e-03,3.055531202139601388e-01,3.614016835917866020e-03,7.423921260909868870e+05,3.407898007026306004e+03,1.907769910814943459e-01,6.587544132510128603e-03,-1.055478118835792220e-03,2.841756992935058346e-01,2.679626198231871404e-04,2.093819287184760736e+00,2.906162204065270149e-01,1.183840102719103211e-03,3.313680602093608818e-01,7.642928007469057338e+05,1.823674945487114174e+00,1.719190700734449517e-01,1.796966132186957332e-01,5.505971652592830381e-04,2.656624754579782130e-03,-1.054933546820558754e-03,2.853297852536100243e-01,1.146463411149054056e-04,2.081134097782701087e+00,3.385507579672712430e-01,7.642912891876950162e+05,1.843325219747917298e+00,1.734445478743974201e-01,2.413475475311856926e-04
3.500000000000000000e+01,2.000000000000000111e-01,4.000000000000000000e+00,2.000000000000000000e+06,1.357425800000000000e+07,4.825652114219134980e-01,2.967537505891890137e-01,2.772203750338287503e-02,2.617126239536422538e-01,1.522559027853752078e-01,1.618162434525734217e-02,-5.806902622053325587e-04,2.576232711632823191e-01,2.941652935281327975e-03,6.606166974138392834e+05,2.840202473760881730e+03,1.454290764591784357e-01,6.006622746662956813e-03,-4.026219800442057623e-04,2.419914808498585534e-01,2.125734950581310715e-04,2.009234579511383956e+00,2.475164208288445911e-01,1.176880466969716741e-03,2.889438877445253961e-01,6.785268743470461341e+05,1.731165260036580777e+00,1.318488994913061818e-01,1.358492351795496100e-01,4.818843874990912145e-04,2.973799508595354694e-03,-4.026849843890236325e-04,2.428022737771144413e-01,9.702730262455458421e-05,1.997561959061073589e+00,2.955360544850182958e-01,6.785257798275095411e+05,1.746610213079677898e+00,1.326523977560334633e-01,2.241409502445818383e-04
3.600000000000000000e+01,2.000000000000000111e-01,5.000000000000000000e+00,2.000000000000000000e+06,9.489386000000000000e+06,4.371551421634542467e-01,2.765906545538067141e-01,2.416927910574595550e-02,2.337418852667634550e-01,1.294140428476042992e-01,1.541251431619865275e-02,1.047518690220463136e-04,2.312497901432650493e-01,2.483465975054566840e-03,4.631199915252434439e+05,1.776612113025186090e+03,1.205753107617151682e-01,5.338963020500759465e-03,2.881148007637594592e-04,2.199450459309208183e-01,2.085942352375696736e-04,1.907093942128686548e+00,2.194174274009699777e-01,1.335975234371014880e-03,2.502354359583920940e-01,4.743040060058489325e+05,1.741660223586071865e+00,1.081564372946135222e-01,1.135355472179016834e-01,5.372775280380356726e-04,3.503892138354619632e-03,2.881330497093946281e-04,2.198810021140946980e-01,1.005115828036801941e-04,1.908220951124014242e+00,2.496247475684775230e-01,4.743039417281083297e+05,1.740901222204024990e+00,1.086780812974674215e-01,2.611472661659950453e-04
3.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,8.786766000000000000e+06,7.079876781683936970e-01,6.218073048017579429e-01,2.480739681994354948e-02,3.522131461789664297e-01,2.935418639638761040e-01,1.325644291630624812e-02,1.350381462470048258e-03,3.387796266615649143e-01,4.100752454484768439e-03,4.256784269371226546e+05,2.057504065922893915e+03,2.753789671796474936e-01,5.154238690746509692e-03,1.406474634900548373e-03,3.174094429143506924e-01,3.433137736808605182e-04,1.819884124466813802e+00,3.119835330053744027e-01,1.526845786211268379e-03,3.140784774587162542e-01,4.391743559539895505e+05,1.674131109125841954e+00,2.531219985499230662e-01,2.491586600969831478e-01,4.529769140810235004e-04,2.195498280844205251e-03,1.407100751122596083e-03,3.165140002436528932e-01,1.562967473039739879e-04,1.827929149504006645e+00,3.093830597686905159e-01,4.391730835727603990e+05,1.680759088159696990e+00,2.522783831683553801e-01,2.084084723751055985e-04
3.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,1.152116600000000000e+07,7.616154197753729482e-01,6.597360478658810257e-01,2.718631383239690849e-02,4.149321435149196935e-01,3.561699680183254557e-01,1.499549156197433827e-02,3.252668466259600925e-04,3.993207814328099126e-01,4.600656516389884688e-03,5.577087943760331254e+05,2.419717013158517602e+03,3.379895751632133183e-01,5.585407118728366246e-03,4.264994701118828501e-04,3.716436224494530371e-01,3.790877558458897404e-04,1.977255799175090090e+00,3.679061320211371444e-01,1.384772270570275429e-03,3.532308997023033137e-01,5.758916663061162690e+05,1.545930288672434871e+00,3.113570901722212403e-01,3.042130143463643854e-01,4.680714264257171365e-04,1.910828347238519237e-03,4.262478118998750082e-04,3.708985448003121466e-01,1.593553519866373685e-04,1.983132659351794391e+00,3.502502720137850023e-01,5.758909492757684784e+05,1.548861385750707420e+00,3.101764739854994679e-01,1.993238946774127779e-04
4.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,1.660612200000000000e+07,8.762624953281771267e-01,7.627773004837689053e-01,3.107242435850837703e-02,5.231717274741833901e-01,4.647247105438855885e-01,1.805795086476195965e-02,7.961295239402833238e-04,5.043499440461722827e-01,5.270155715231699713e-03,8.035992552547852974e+05,2.844194932507495196e+03,4.442994678288494925e-01,6.132985281221888310e-03,9.197533202834029227e-04,4.649187793586910256e-01,4.711742808315231147e-04,2.169675824525664876e+00,4.697713158930106880e-01,1.499924269515459565e-03,3.901574806713555832e-01,8.300937782596518518e+05,1.702766682508313201e+00,4.061401358968850239e-01,4.105096521091133877e-01,5.568496201517750873e-04,1.896362469125929037e-03,9.198187929192196306e-04,4.660517852456954602e-01,1.814860696198050010e-04,2.162211377352484920e+00,3.934513090895772058e-01,8.300936012132193428e+05,1.707745567512795937e+00,4.072765539104636345e-01,2.173534810922314727e-04
4.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,1.297181000000000000e+07,1.089641384559749238e+00,9.745235836572508914e-01,3.727553620981430282e-02,7.325895485522354589e-01,6.689730050085962443e-01,2.439755597899254114e-02,1.058283892683992405e-03,7.124685494957210263e-01,6.023002007698613838e-03,6.289639813616683241e+05,1.446084964898205726e+03,6.484675251666062179e-01,6.770634316474483105e-03,1.309871794758218867e-03,6.579740276884905592e-01,7.843098907981044038e-04,2.414664905910229198e+00,6.576990392255257500e-01,1.996547938552724680e-03,4.247273985023217735e-01,6.484209505445563700e+05,1.448164432145665037e+00,5.947648066726418659e-01,6.019967426896298823e-01,8.845295742945996154e-04,2.254380471105206767e-03,1.309868089667185626e-03,6.578987266391900235e-01,2.730516920329205096e-04,2.415046030828884138e+00,4.245911319465431877e-01,6.484209349470910383e+05,1.447446137533451749e+00,5.961205677092860089e-01,3.104892904688409845e-04
4.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,6.791362000000000000e+06,1.731862381434334575e+00,1.593588482917808635e+00,5.712371497954617239e-02,1.302300142721850573e+00,1.216380301353932714e+00,4.216780715180089290e-02,1.847183069860184766e-03,1.282558433029009404e+00,7.769803364514432133e-03,3.300349550831213710e+05,3.809655207386619509e+02,1.197023031371363677e+00,8.491336945602005054e-03,2.166383656084780278e-03,1.217463350068590966e+00,2.114797997120286804e-03,2.753362217303610304e+00,1.127311450432551432e+00,3.092196746472610468e-03,4.993636395290086960e-01,3.394471821354825515e+05,1.161443968285047923e+00,1.132468636232424997e+00,1.057356088696459251e+00,2.288001589779509962e-03,3.329136850735954674e-03,2.149128742251963601e-03,1.183564878201117665e+00,6.699451753758827854e-04,2.861401913637483307e+00,4.809124331463704438e-01,3.394295149209889350e+05,1.309927416688073221e+00,1.102547474405499939e+00,7.276202628846291072e-04
4.600000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+06,6.610472000000000000e+06,5.536959692857100102e+00,5.495279754933780403e+00,1.673874969611231500e-01,4.526497423348866178e+00,4.502529766628140528e+00,1.365253942266073939e-01,1.550870181579213358e-01,4.425725370311531570e+00,1.552863547324117265e-02,3.203101086187244509e+05,1.240357309436717372e+02,4.401698883035821908e+00,1.562002069670017333e-02,1.552233309886594248e-01,1.757552646398959340e+01,9.573145887749479055e-02,6.897403705832274134e+00,3.974170385186948540e+00,2.763364904094125444e-03,9.706225574857115790e-01,3.301249296039554174e+05,1.766764498108548409e+00,1.756984344522421893e+01,3.954895832069930783e+00,9.576242493911296672e-02,2.779590518135769284e-03,1.550021055572313733e-01,4.049093289736642731e+00,2.356778984532091181e-03,2.832609097513124397e+00,5.255031264626836007e-01,3.303935759775502374e+05,1.243657946408280424e+00,4.026157172962455455e+00,2.370398333563405319e-03
4.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+06,1.312655200000000000e+07,3.554580826059841492e+00,3.520997403741040976e+00,1.076735734248603360e-01,2.550420161308270206e+00,2.532879869632582270e+00,7.704969526115371115e-02,1.363384668824454971e-01,2.388215400528413301e+00,1.364823204287996493e-02,6.307094660610727733e+05,6.561677790587729078e+02,2.369909596692721276e+00,1.375923564325191688e-02,1.369290266240302534e-01,2.153015203109434061e+00,2.941573436165844605e-03,2.136567793046825425e+00,2.215429771455533992e+00,7.452964843591299536e-03,4.541356691501944876e-01,6.562664484678828157e+05,1.682008513301345154e+00,2.134546747898506069e+00,2.199536570339821306e+00,2.967411058051539798e-03,7.508435214724534096e-03,1.369490220459360363e-01,2.170989780456804574e+00,1.014858168620809582e-03,2.113611119190302201e+00,4.627093176012095910e-01,6.562764217386282980e+05,1.716295855075612220e+00,2.153073529534107244e+00,1.023512494767394232e-03
4.800000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+06,1.572336600000000000e+07,2.891457383331009101e+00,2.859111583872505857e+00,8.774678207331700064e-02,1.830699422023934542e+00,1.814861089439228969e+00,5.540850036677941876e-02,9.224881847487061137e-02,1.639594807915091046e+00,1.240195339241139880e-02,7.500097542397426441e+05,1.361684164559020246e+03,1.622129552531408114e+00,1.254093954385319086e-02,9.240751780963810114e-02,1.474011112138606139e+00,1.954359301366925469e-03,1.804480793238189440e+00,1.527755122933496690e+00,5.974373183443435625e-03,4.298221025440916998e-01,7.861473596007265151e+05,2.469664865229714401e+00,1.456540111804015991e+00,1.510585582113253889e+00,1.978178283078288382e-03,6.046249595141876820e-03,9.240994104069993886e-02,1.487509321774394433e+00,7.610411027052074642e-04,1.784742682458359209e+00,4.402086509164732098e-01,7.861594077341554221e+05,2.537154542403992519e+00,1.470154382097404566e+00,7.702300021246508274e-04
4.900000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+06,1.190306800000000000e+07,2.576340756423192158e+00,2.548082671033516711e+00,7.816596161635064322e-02,1.458050727582458128e+00,1.442428607106786664e+00,4.422530330781778568e-02,2.746938642327052815e-02,1.250016747288659191e+00,1.124494389352889874e-02,5.645008845522453776e+05,1.445757265626690241e+03,1.231796141793364718e+00,1.141672726256987708e-02,2.780137084765291547e-02,1.122743815921175559e+00,1.570951291001132380e-03,1.603406087304558136e+00,1.170776281505179206e+00,5.457646376576648362e-03,4.148785732918990887e-01,5.951552504086443223e+05,2.459036644249025017e+00,1.104254468717425608e+00,1.152348791579199672e+00,1.597611850756573346e-03,5.550238967662345958e-03,2.779903667715632326e-02,1.133663788972114173e+00,6.587264207741311359e-04,1.585936293694003352e+00,4.266154994722366478e-01,5.951644201112554874e+05,2.528949928623979382e+00,1.115274540597828823e+00,6.697853654158817966e-04
5.000000000000000000e+01,1.000000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+06,6.995182000000000000e+06,2.418471325937462169e+00,2.394661004453085162e+00,7.328961589505736396e-02,1.237072690798549868e+00,1.221663442965232216e+00,3.759180416388162305e-02,6.446130298366673818e-03,1.014003999628356079e+00,1.027112998092325272e-02,3.300959872590884333e+05,1.069656531256635162e+03,9.946185456677766323e-01,1.047539989827901002e-02,6.625940552619164273e-03,9.097035751982779361e-01,1.444478145414681940e-03,1.467019078796683695e+00,9.564208503405147166e-01,5.572687160087884568e-03,4.044251686800592327e-01,3.497298685300054494e+05,2.086352387379243112e+00,8.893157967939384623e-01,9.378097653580291793e-01,1.478137236963125364e-03,5.690509277396304556e-03,6.630506868204228549e-03,9.195260505684873520e-01,6.371813210101797114e-04,1.450180790049263813e+00,4.180112963666182124e-01,3.497353214676140342e+05,2.144268304467622066e+00,8.994395076590091520e-01,6.517117779536873859e-04
5.200000000000000000e+01,1.299999999999999940e-02,1.000000000000000000e+00,2.000000000000000000e+06,6.384948000000000000e+06,7.000664458506365984e-01,1.739826809392830131e-01,1.158793010907353122e-01,4.790898252547732272e-01,1.145532035832300122e-01,8.261431500637249348e-02,-2.690564626878712458e-04,4.735722841839400954e-01,4.516350427401892229e-03,3.104590933068476152e+05,8.900386939621943156e+02,1.103572011554089793e-01,2.654615669146852958e-02,2.133357378431412297e-05,4.591210483514247542e-01,6.897964589764513620e-04,2.365935546870193917e+00,4.012045538207276718e-01,1.297984314638155447e-03,4.238492382487069055e-01,3.191056638384451508e+05,1.493939981469078360e+00,1.051681526375898151e-01,9.019914652379557030e-02,4.090047824850456468e-03,7.924321844912096680e-03,2.430833595903443480e-05,4.417655475636667051e-01,2.983396375407403652e-04,2.512849170806446431e+00,3.914342441082434010e-01,3.190532503987124655e+05,1.981197624314606998e+00,9.970913408984333204e-02,1.800364497121492669e-03
5.400000000000000000e+01,1.299999999999999940e-02,2.000000000000000000e+00,2.000000000000000000e+06,1.389683600000000000e+07,5.192673361340017779e-01,1.789313682242047177e-01,6.025794462509258959e-02,3.076544865313973198e-01,7.408588168579058331e-02,5.265535676579422009e-02,-4.400225459874470765e-04,3.025594219298218812e-01,3.367029490708571549e-03,6.759291210345170693e+05,2.731292950118012868e+03,6.664008533663763612e-02,2.068552365158182749e-02,-2.491969772958462772e-04,2.861079433837389052e-01,3.858807368490887015e-04,2.084317146186089875e+00,2.753797759667231393e-01,1.431729986494209529e-03,3.289651195142631046e-01,6.944623140151172411e+05,3.677761759408670006e+00,5.170212191973633242e-02,7.527332211499297709e-02,2.910453935102539150e-03,6.940594039193899445e-03,-2.495928084246126040e-04,2.841259098358979163e-01,1.671194817893570503e-04,2.105210142271935592e+00,3.171872820482018462e-01,6.944553675390515709e+05,3.735996441779643629e+00,5.706600890767274392e-02,1.141311778893233436e-03
5.500000000000000000e+01,1.299999999999999940e-02,3.000000000000000000e+00,2.000000000000000000e+06,1.592154000000000000e+07,4.533213586771711046e-01,1.396191378266553595e-01,5.955778171752518918e-02,2.469798992478983157e-01,5.709177518941782603e-02,4.413554161932544545e-02,-4.612194033197948963e-04,2.435398125614363363e-01,2.754258891370932241e-03,7.755860202427365584e+05,3.281755544463522710e+03,4.842304571256689921e-02,1.858548634542441999e-02,-2.619092698956233768e-04,2.291133389985335611e-01,2.487921121580626352e-04,2.015058829031365573e+00,2.358468654493777739e-01,1.511253343622023359e-03,2.760793517713582834e-01,7.957137256318592699e+05,3.317351846143270944e+00,3.596193394440818508e-02,5.879480573308622227e-02,2.226443469638983343e-03,8.272586659375582088e-03,-2.609597329871032574e-04,2.300284631099613619e-01,1.160367434684358209e-04,2.001548585100252353e+00,2.846467897548161652e-01,7.957115387854782166e+05,3.343772021646530312e+00,3.978716721775727577e-02,9.386256709917537022e-04
5.600000000000000000e+01,1.299999999999999940e-02,4.000000000000000000e+00,2.000000000000000000e+06,1.422690400000000000e+07,3.970149987334808950e-01,1.132012121552607442e-01,5.672384937472751965e-02,2.151708876202403364e-01,3.141453923856216829e-02,6.186490461008498087e-02,-8.118776305004413727e-05,2.152084967734774756e-01,2.079676749502391928e-03,6.946284708159957081e+05,2.110335093160028464e+03,3.308418834427301336e-02,1.885338523809813177e-02,2.219547414067583164e-04,2.048237765859993453e-01,1.765903915518732422e-04,1.998218831309121146e+00,2.112347596672257688e-01,1.301031475330577652e-03,2.428547645416942458e-01,7.111157768441770459e+05,2.150153698776114730e+00,2.787534660075948259e-02,4.255302351910510844e-02,1.863688475761938372e-03,9.218516275162121770e-03,2.234599597031871894e-04,2.055572761152693606e-01,8.578000581419803591e-05,1.983824333163936693e+00,2.511596495882542079e-01,7.111139020927982638e+05,2.173687694402285597e+00,2.995844193240308068e-02,8.444129204639924668e-04
5.700000000000000000e+01,1.299999999999999940e-02,5.000000000000000000e+00,2.000000000000000000e+06,9.927658000000000000e+06,3.487033276372386026e-01,8.361687970641286383e-02,5.994810650063082946e-02,1.996090632860951231e-01,4.423238297958956983e-02,3.729048189811873248e-02,3.348779322767636807e-04,2.001342246581436224e-01,1.764208270209141052e-03,4.863629689718302689e+05,1.239604715357346095e+03,3.340131739162932600e-02,1.369532647357610787e-02,6.445787780900413258e-04,1.926649675689578733e-01,1.697948580315818687e-04,1.973818725055163315e+00,1.914464173507042510e-01,1.305305732416920175e-03,2.154331466979909626e-01,4.962115231634673546e+05,1.783658257536999026e+00,2.101859717146680601e-02,3.739042325554076812e-02,2.302468029810725292e-03,9.818554268830489290e-03,6.444351575371407275e-04,1.925414341383323569e-01,8.417903192373989152e-05,1.976917805687840035e+00,2.139386800327491567e-01,4.962113374740069848e+05,1.783454854999200867e+00,2.314031382341644530e-02,1.040514471650184382e-03
