# ('runnr', 'thickness', 'energy', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_y_fit_slope', 'projection_y_fit_offset'
46,10,1,2.874032097214082246e-02,1.611656781712378084e-01,-2.273981319557321842e-02,1.608854405533648169e-01
47,10,2,1.731655511873089401e-02,1.417708172074637341e-01,-1.585781154093345718e-02,1.432923002724170169e-01
48,10,3,1.332192521356905489e-02,9.090916389200262571e-02,-1.071493652042633353e-02,9.600435965777384673e-02
49,10,4,6.930099282713359996e-03,2.638908778358825882e-02,-6.335988626342466470e-03,2.484212519318959242e-02
50,10,5,3.946464679072861532e-03,1.037345409760910379e-02,-6.003069090578309593e-04,3.211543998926294843e-03
