# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
1.500000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000000e+06,6.214840312325317063e+04,6.905378124805907625e-01,4.932528431859752871e-01,3.107420156162658600e+02,6.905378124805907625e-01,3.622182737182054468e-02,1.724332481591850028e-03,6.888780311501656595e-01,3.060732173240707081e-04,1.597561541880900340e-03,7.469016001980082198e-01,1.667191071870554155e-03,1.381075624961181347e+02,6.905378124805906515e-01,2.473687889060389652e-02,7.323831031343277630e-04,6.896793456075311912e-01,7.466768831618609626e-04,1.729230104079136155e-03,1.716933751480202441e-01,8.671382583233345565e-04
1.700000000000000000e+01,5.000000000000000278e-02,2.000000000000000000e+00,2.000000000000000000e+06,4.260621558992178325e+04,4.734023954435753745e-01,5.001055505694170789e-01,2.130310779496089708e+02,4.734023954435754855e-01,3.817926714171993724e-02,1.383866041575737083e-03,4.706157314013714732e-01,3.255791568910868135e-04,1.710946857658586810e-03,1.253998818305197549e+00,2.799104505145530181e-03,9.468047908871508866e+01,4.734023954435754300e-01,2.656477566000424798e-02,2.231503862953880795e-03,4.720200751238262660e-01,7.800950208537905549e-04,1.815314961528141776e-03,2.764640642862261632e-01,1.396283152960738159e-03
1.800000000000000000e+01,5.000000000000000278e-02,3.000000000000000000e+00,2.000000000000000000e+06,3.591126581276331126e+04,3.990140645862589874e-01,5.763324332163100028e-01,1.795563290638165768e+02,3.990140645862590429e-01,4.205942503750999262e-02,1.584950757041441371e-03,3.950853050472842853e-01,3.538862283939528180e-04,1.861376193746883427e-03,1.767941789031610256e+00,3.946298636231272521e-03,7.980281291725179926e+01,3.990140645862589874e-01,2.762007766101365683e-02,2.891738342712205003e-03,3.972725315886747599e-01,8.008610502895837377e-04,1.869293627413330878e-03,3.483065974441255652e-01,1.759124229515785648e-03
1.900000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+00,2.000000000000000000e+06,3.184413122285408826e+04,3.538236802539342918e-01,5.785596651507688426e-01,1.592206561142704118e+02,3.538236802539342363e-01,4.277619387438965498e-02,1.546219255603249222e-03,3.493643147417067607e-01,3.547727312762517901e-04,1.864819495801714770e-03,2.006714485241630541e+00,4.479273404557211277e-03,7.076473605078686546e+01,3.538236802539343473e-01,2.693367615968754458e-02,4.950544975925142647e-04,3.518463236495708024e-01,8.039448616447272605e-04,1.874504183139535148e-03,3.954713196467271041e-01,1.997329897205692498e-03
2.000000000000000000e+01,5.000000000000000278e-02,5.000000000000000000e+00,2.000000000000000000e+06,2.698009453137966193e+04,2.997788281264406884e-01,4.104349735319586245e-01,1.349004726568982733e+02,2.997788281264406329e-01,3.217384759429092744e-02,1.188884440637960442e-03,2.969546875128412089e-01,2.623355268863337042e-04,1.368198917591786131e-03,1.270863276791169394e+00,2.836748385694574416e-03,5.995576562528813014e+01,2.997788281264406329e-01,1.958792515013418542e-02,-4.729814765533916143e-05,2.985670533177811614e-01,5.806818782157285386e-04,1.351759115220251863e-03,2.423549609594461973e-01,1.224014954340637380e-03
2.200000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e+00,2.000000000000000000e+06,2.858435865552409814e+04,3.176039850613788795e-01,4.050334067713747266e-01,1.429217932776204805e+02,3.176039850613788240e-01,2.848697868415066281e-02,1.298074796482125452e-03,3.154034449787186944e-01,2.386949493559173538e-04,1.244683270566116938e-03,9.902430416502161492e-01,2.210363932254946762e-03,6.352079701227577857e+01,3.176039850613788795e-01,1.877398158158668021e-02,-5.186026247173523856e-05,3.165300613632857085e-01,5.630191238662086289e-04,1.310272421181891359e-03,2.147847389761577963e-01,1.084771408970493971e-03
2.300000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+00,2.000000000000000000e+06,3.423405554699696222e+04,3.803783949666328934e-01,5.961964134509841751e-01,1.711702777349847793e+02,3.803783949666328379e-01,4.576377904728086421e-02,1.645427822030022915e-03,3.755429555368864913e-01,3.825434503934580432e-04,2.013301312601642381e-03,2.175947747856448622e+00,4.857026222893858283e-03,7.607567899332659067e+01,3.803783949666329489e-01,3.091566353085253502e-02,1.043095722527584597e-03,3.780139611025919444e-01,9.098447715932853974e-04,2.124637820245212430e-03,4.728867708330123376e-01,2.388317024409153128e-03
2.400000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+00,2.000000000000000000e+06,3.980229852987475897e+04,4.422477614430528892e-01,6.349255900126224983e-01,1.990114926493737926e+02,4.422477614430528892e-01,4.948593799712316249e-02,2.281002683961232125e-03,4.375116803911303087e-01,4.079917214904210817e-04,2.150628436564249509e-03,2.131236476528744817e+00,4.757224277965948003e-03,8.844955228861057606e+01,4.422477614430528892e-01,3.129744637608579405e-02,1.347142235176085594e-03,4.401364140810163361e-01,9.270239036852070871e-04,2.166411231883539745e-03,4.222694726388149244e-01,2.132674104236439126e-03
2.600000000000000000e+01,1.000000000000000056e-01,2.000000000000000000e+00,2.000000000000000000e+06,4.828223046488967520e+04,5.364692273876630058e-01,6.151043713121010503e-01,2.414111523244483806e+02,5.364692273876631168e-01,4.481987924060144846e-02,1.393820505441907120e-03,5.330256994164949136e-01,3.843416655482200092e-04,2.024122872745875729e-03,1.549587584941391150e+00,3.458900859244176673e-03,1.072938454775326136e+02,5.364692273876631168e-01,3.013979573003038384e-02,7.833163576182541757e-04,5.348290115618342666e-01,9.039469511030408157e-04,2.104870506117027199e-03,3.280431668465509931e-01,1.656783670942176814e-03
2.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00,2.000000000000000000e+06,6.964015787198217004e+04,7.737795319109129766e-01,4.975773200189642642e-01,3.482007893599108002e+02,7.737795319109128656e-01,3.778406658138733915e-02,1.747539036542571696e-03,7.721181963886057931e-01,3.244114481407173330e-04,1.692121581800358097e-03,7.476009869738257096e-01,1.668752203066575183e-03,1.547559063821826157e+02,7.737795319109130876e-01,2.355494129882897136e-02,1.248293304353258887e-03,7.730880360308282073e-01,7.090575445073917828e-04,1.643147988119703215e-03,1.382991770254562158e-01,6.984806920477586384e-04
