'runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsfrac', 'rmsfrac_norm', 'gauss_mu', 'gauss_si', 'gauss_height', 'gauss_dmu', 'gauss_dsi', 'gauss_chi2', 'gauss_chi2red', 'gauss_si_norm'
1.0, 0.0, 2.0, 2000000.0, 6373708.0, 0.36761773047586227, 0.29737895735859254, 0.0, 0.0010831072355348545, 0.2957707631666451, 167557.73965523668, 0.0025981399661107376, 0.0020426401787520996, 42289.16591052079, 469.8796212280088, 0.0
2.0, 0.0, 1.0, 2000000.0, 2852601.0, 0.5506354682271319, 0.45829340590791084, 0.0, 0.000611327672564738, 0.4548102093013987, 48710.33205021022, 0.003389627947647662, 0.002685053078634953, 21168.521248312383, 151.20372320223132, 0.0
3.0, 0.0, 3.0, 2000000.0, 8126850.0, 0.29528098878428016, 0.23932208011609948, 0.0, -0.00012108932119179345, 0.2397967808556168, 264271.4270884024, 0.0019331024737605856, 0.0015195376938297981, 35190.791240033046, 502.7255891433292, 0.0
4.0, 0.0, 4.0, 2000000.0, 7502331.0, 0.25948074015134465, 0.2118826460708111, 0.0, 8.127991388708547e-05, 0.21381560987567946, 274203.7846083551, 0.0015684789599824506, 0.001235919088893294, 22918.155839560648, 381.96926399267744, 0.0
5.0, 0.0, 5.0, 2000000.0, 5390836.0, 0.23644015759975204, 0.19606934132522133, 0.0, -0.0002882044120459514, 0.19913393785971548, 212121.14481837818, 0.0012501473102974562, 0.0009879803205066124, 10789.52987315061, 199.80610876204832, 0.0
7.0, 0.025, 5.0, 2000000.0, 5328950.0, 0.24299429003241066, 0.2008091276152427, 0.043371870214329956, -8.685302925759135e-05, 0.2033390944347832, 205254.8001357796, 0.0013641393568507999, 0.0010750445579227241, 12678.399652315778, 226.39999379135318, 0.0411395444559205
9.0, 0.025, 4.0, 2000000.0, 7632434.0, 0.2675701375695931, 0.21785468055119953, 0.05065970915921841, 9.387839438042694e-06, 0.21959106520246102, 271526.7359697115, 0.0016341055581373036, 0.0012873480797048799, 24823.743417513917, 400.38295834699863, 0.050031199168546134
11.0, 0.025, 3.0, 2000000.0, 8094949.0, 0.3067774288139506, 0.24912454860141348, 0.06919525044944404, 0.0001327452080900011, 0.24882936821227253, 253656.59777958764, 0.002067467252680513, 0.0016223957376607758, 39498.5652724135, 533.7643955731554, 0.06643461730304463
12.0, 0.025, 2.0, 2000000.0, 6508335.0, 0.38298197670223766, 0.31152633860112, 0.09281387483849637, 8.864378038987486e-05, 0.3100950766875357, 163240.2956736503, 0.002653002962101595, 0.0020888562930646147, 42752.76946596487, 454.8166964464348, 0.09315906956206146
13.0, 0.025, 1.0, 2000000.0, 2821105.0, 0.5862543721328597, 0.4913820998907467, 0.17726681075251127, -8.48714608056968e-05, 0.4876553036075088, 44910.81142371913, 0.0035568803653755225, 0.0028219535935140308, 21467.88106178525, 143.11920707856834, 0.1759413784524535
15.0, 0.05, 1.0, 2000000.0, 2761850.0, 0.6158677378609785, 0.5196029848564959, 0.24485590859341494, -0.0001318362493380584, 0.5161482986413696, 41555.259142636474, 0.0036478944083716052, 0.0028970614371290637, 20769.15346756711, 131.45033840232347, 0.24404249569613548
17.0, 0.05, 2.0, 2000000.0, 5999723.0, 0.39952379851091696, 0.3253029479411157, 0.1318626696965317, -0.00028140944672093774, 0.32398375581934347, 143995.64902651697, 0.0027198808310583697, 0.0021431162671615624, 39528.83588072402, 403.3554681706533, 0.13223134912201534
18.0, 0.05, 3.0, 2000000.0, 7527080.0, 0.3164432246169808, 0.256813379569611, 0.09315607277503886, -0.0006393781476672517, 0.2567220189425615, 228542.67471563673, 0.002088060795838988, 0.0016404029231323605, 36093.842555724186, 474.91898099637086, 0.09167169083871105
19.0, 0.05, 4.0, 2000000.0, 7399317.0, 0.2746510452993634, 0.22336510057594702, 0.0706945008422461, -0.0002960359330472121, 0.22494732206511384, 256923.91863794482, 0.0016772726395152258, 0.001319632790515904, 24969.50353981967, 390.14849280968235, 0.06988692780311133
20.0, 0.05, 5.0, 2000000.0, 5310721.0, 0.24944185499685118, 0.20449319824056936, 0.058088566163666436, -0.0006797573608014719, 0.20724778313484954, 200604.0481683369, 0.0013662895768336847, 0.0010784074231494376, 12395.082831904861, 217.45759354219055, 0.05742228144886443
22.0, 0.1, 5.0, 2000000.0, 5469292.0, 0.2622797470492396, 0.213466717560192, 0.08440884372041026, -0.0009775650962535055, 0.21583871070922586, 198205.136253716, 0.0014919051961537206, 0.0011768435182417903, 14808.585811126388, 246.80976351877314, 0.08325877631279399
23.0, 0.1, 4.0, 2000000.0, 7825433.0, 0.2911115802575997, 0.235828647261345, 0.10354175565030413, -0.0003518390011709577, 0.23710529020820767, 257582.0524348174, 0.0018278730351290323, 0.0014400782053904245, 30010.76836874381, 441.3348289521149, 0.10247830803740676
24.0, 0.1, 3.0, 2000000.0, 8464508.0, 0.33881952119641434, 0.2749314601750909, 0.13532276143690997, -0.00015129197498448243, 0.27434016177193093, 240380.35439347438, 0.0022573949704901564, 0.0017751746639880091, 44861.8926088758, 547.0962513277536, 0.13326675599087917
26.0, 0.1, 2.0, 2000000.0, 6994937.0, 0.4312003640232551, 0.35390960783042735, 0.19187956179594343, 0.00016147926228390766, 0.3522963142063167, 154323.21671705818, 0.0029556821664611078, 0.0023311226670160337, 50238.69511883362, 469.52051512928614, 0.19139579059941772
28.0, 0.1, 1.0, 2000000.0, 3039977.0, 0.6758308988698117, 0.5756828107369643, 0.34839324430783425, -0.0005160205097885983, 0.5728795251717551, 41213.538766845086, 0.0037860024990536492, 0.0030111592983307505, 21973.210699061063, 126.28282010954634, 0.34833694015454847
