# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
1.500000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000000e+06,-7.572456623581703639e+01,-8.413840692868559089e-04,9.968177342535215757e-02,-3.786228311790851286e-01,-8.413840692868558005e-04,7.606887042547944011e-03,-1.948209415447716547e-04,1.447930813569964269e-03,1.853946232573226987e-05,1.098385770690336318e-04,8.322576826558061303e-01,1.857718041642424491e-03,-1.682768138573712269e-01,-8.413840692868561257e-04,4.852997018346971898e-03,7.857591168637492512e-05,5.084930020930213384e-04,4.089544968829510592e-05,8.737488241137719724e-05,2.475491869191576433e-01,1.250248418783624560e-03
1.700000000000000000e+01,5.000000000000000278e-02,2.000000000000000000e+00,2.000000000000000000e+06,1.313444491348939636e+01,1.459382768165488474e-04,6.205633917545046868e-02,6.567222456744709058e-02,1.459382768165490914e-04,5.022116034649049335e-03,1.067502516160553832e-05,1.141273034611270387e-03,1.662338533817706029e-05,8.475907300413883249e-05,6.340669378466701200e-01,1.415327986264888630e-03,2.918765536330977101e-02,1.459382768165488474e-04,3.188263260619327109e-03,3.622091578884133901e-07,1.161778275589564870e-03,4.284685567295259425e-05,9.297877135566146273e-05,1.491116258032642305e-01,7.530890192084052377e-04
1.800000000000000000e+01,5.000000000000000278e-02,3.000000000000000000e+00,2.000000000000000000e+06,6.806866065141868205e+01,7.563184516824298124e-04,5.910976987260839477e-02,3.403433032570934991e-01,7.563184516824300293e-04,4.908497945381140072e-03,-4.763484840844112828e-05,5.744601165121407003e-04,1.578759194342374130e-05,6.796715894009778582e-05,8.897523108763880639e-01,1.986054265349080500e-03,1.512636903364859842e-01,7.563184516824299208e-04,2.846429334351683205e-03,9.922323614927409431e-05,7.271012215734181045e-04,3.875346601452224558e-05,7.970765558454531035e-05,2.148248778945042736e-01,1.084974130780324555e-03
1.900000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+00,2.000000000000000000e+06,2.589895991682991294e+01,2.877662212981101628e-04,6.090918381422277816e-02,1.294947995841495003e-01,2.877662212981100002e-04,4.958826050270848627e-03,-7.239629271558866289e-07,7.041352644347753393e-04,1.833564734684446374e-05,7.372017207132454766e-05,7.212286269726441157e-01,1.609885328063937696e-03,5.755324425962206336e-02,2.877662212981103255e-04,3.302674225320146890e-03,2.637296536427108346e-05,9.049779556083174716e-04,3.999963278147443678e-05,8.495417866676442100e-05,1.725328442516363137e-01,8.713780012708904205e-04
2.000000000000000000e+01,5.000000000000000278e-02,5.000000000000000000e+00,2.000000000000000000e+06,7.481121312928432587e+01,8.312357014364924867e-04,5.260268500304831479e-02,3.740560656464216316e-01,8.312357014364924867e-04,4.459479637906899746e-03,2.835986925042550890e-05,1.356854606334208647e-04,2.079393057044143949e-05,4.827858600136535332e-05,9.685584739737145288e-01,2.161960879405612664e-03,1.662471402872984783e-01,8.312357014364923783e-04,2.797968800815905845e-03,1.423137357111571479e-04,1.100853495963523884e-03,3.689671021490128062e-05,8.569374283669243413e-05,1.738486742136969021e-01,8.780236071398833100e-04
2.200000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e+00,2.000000000000000000e+06,-4.084932535672834319e+00,-4.538813928525371359e-05,5.105192724467555454e-02,-2.042466267836406946e-02,-4.538813928525348997e-05,4.195447688957128045e-03,-7.521488832410382595e-05,7.196517539846184180e-04,1.517116301184566105e-05,6.220089762641817580e-05,5.394175179177108648e-01,1.204056959637747528e-03,-9.077627857050726834e-03,-4.538813928525363227e-05,2.953991992447233764e-03,8.346600234215900878e-05,3.544572087659305119e-04,3.398423390238049501e-05,5.858403002447828544e-05,1.929249906916533641e-01,9.743686398568351384e-04
2.300000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+00,2.000000000000000000e+06,6.665673257064327117e+01,7.406303618960362930e-04,5.985265923358309287e-02,3.332836628532163115e-01,7.406303618960362930e-04,4.442893508392718391e-03,-8.505527951027139178e-05,3.988931087025379013e-04,1.726157592722009861e-05,5.174461430919191244e-05,8.393613692757331268e-01,1.873574484990475761e-03,1.481260723792073020e-01,7.406303618960365098e-04,3.478127880986745489e-03,2.164318187106220581e-04,5.183179465643980620e-04,3.838186294106444842e-05,6.952319866972859542e-05,2.707390523282472428e-01,1.367368951152763855e-03
2.400000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+00,2.000000000000000000e+06,5.766196211681297257e+01,6.406884679645885637e-04,6.127612251259643289e-02,2.883098105840649628e-01,6.406884679645887806e-04,4.499391299856490486e-03,5.353586782567066780e-05,1.187818958417355669e-03,1.622646020491055327e-05,8.824919493863930191e-05,6.585411888445473760e-01,1.469958010813721822e-03,1.281376935929177119e-01,6.406884679645885637e-04,3.513566605547235704e-03,-1.263828904050932141e-04,1.003669079961272848e-03,5.653692968606877252e-05,1.135390204758428485e-04,2.390091979141056866e-01,1.207117161182351926e-03
2.600000000000000000e+01,1.000000000000000056e-01,2.000000000000000000e+00,2.000000000000000000e+06,3.664331315851074322e+01,4.071479239834526940e-04,6.904505340390874879e-02,1.832165657925536872e-01,4.071479239834526398e-04,5.414654043205481375e-03,-2.637776114826814034e-05,1.261921514069257264e-03,1.986892178105538215e-05,9.875321854750343964e-05,7.679519618739643061e-01,1.714178486325813183e-03,8.142958479669049066e-02,4.071479239834524771e-04,3.803688336028647997e-03,1.030053514040107422e-04,1.000958927656287432e-03,3.839260091756101245e-05,1.008479804477879717e-04,2.269964587215018148e-01,1.146446761219706159e-03
2.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00,2.000000000000000000e+06,-5.418666184602547276e+01,-6.020740205113940926e-04,1.040160934700347095e-01,-2.709333092301273727e-01,-6.020740205113942010e-04,7.911425796476223224e-03,2.996121340896538198e-05,2.657767524820323166e-03,2.621051284537228700e-05,1.454476804299776802e-04,7.443293819505041320e-01,1.661449513282375326e-03,-1.204148041022787274e-01,-6.020740205113936589e-04,5.700542461676280821e-03,-3.137978002392541386e-04,1.217668514122138834e-03,6.291979951598266013e-05,1.309467424294261540e-04,2.676056591489616721e-01,1.351543733075563983e-03
3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000000e+06,2.229848258759625992e+02,2.477609176399584584e-03,1.181271030223526863e-01,1.114924129379813111e+00,2.477609176399584584e-03,8.596568356940370234e-03,2.771801669965236710e-05,1.663211582135447645e-03,3.027904800038560049e-05,1.512597805077664330e-04,1.706382562882866161e+00,3.808889649292112028e-03,4.955218352799170001e-01,2.477609176399585018e-03,6.425138792552703530e-03,-1.368526459417118452e-04,1.099316988670086693e-03,6.101028945181078002e-05,1.629808263154335459e-04,6.361838071587857524e-01,3.213049531104978512e-03
3.200000000000000000e+01,2.000000000000000111e-01,2.000000000000000000e+00,2.000000000000000000e+06,-4.163742788190472055e+01,-4.626380875767191220e-04,7.639382996942270521e-02,-2.081871394095236028e-01,-4.626380875767191220e-04,5.295273176047088012e-03,-1.183959644290838426e-04,1.974562030003306715e-03,1.884283008378845236e-05,9.761312508553866298e-05,4.507278958170999328e-01,1.006089053163169555e-03,-9.252761751534380186e-02,-4.626380875767190136e-04,3.744769858636275150e-03,2.456901966799972270e-04,9.038257940082530546e-04,2.955595665952567291e-05,8.786714245041924896e-05,1.639418955129204880e-01,8.279893712773762513e-04
3.300000000000000000e+01,2.000000000000000111e-01,3.000000000000000000e+00,2.000000000000000000e+06,-8.654776504483861288e+01,-9.616418338315401142e-04,6.951282734854920264e-02,-4.327388252241929911e-01,-9.616418338315400058e-04,5.187318224489708730e-03,-3.810876419752737005e-05,8.148900672197495953e-04,1.352314265132698520e-05,6.847865841243578233e-05,5.130271213345770631e-01,1.145149824407538149e-03,-1.923283667663080454e-01,-9.616418338315402227e-04,3.862706135387597873e-03,1.343788395124745317e-04,7.239865088259960163e-04,4.303337264080092661e-05,8.156105910486575051e-05,1.436697246786868831e-01,7.256046700943782337e-04
3.500000000000000000e+01,2.000000000000000111e-01,4.000000000000000000e+00,2.000000000000000000e+06,1.564887048578094841e+01,1.738763387308994224e-04,6.199526719410219239e-02,7.824435242890473430e-02,1.738763387308994224e-04,4.734172021131160223e-03,-2.565056248964105347e-05,1.433732193200298703e-03,1.805328240801571261e-05,9.145888878642255599e-05,5.661007403116027348e-01,1.263617723909827564e-03,3.477526774617992200e-02,1.738763387308996122e-04,3.625670329031835306e-03,-4.701166483335389782e-05,8.408508273954619057e-04,4.468286357485713527e-05,1.015934067646278682e-04,2.139588934891962224e-01,1.080600472167657757e-03
3.600000000000000000e+01,2.000000000000000111e-01,5.000000000000000000e+00,2.000000000000000000e+06,3.096285240601302746e+01,3.440316934001447701e-04,5.954239458566768645e-02,1.548142620300651529e-01,3.440316934001447701e-04,4.785818919365083905e-03,-1.185930033992138779e-05,9.244210445417469502e-04,1.698975622516218169e-05,8.005872878119092446e-05,7.056481937747773880e-01,1.575107575390128191e-03,6.880633868002898612e-02,3.440316934001449328e-04,3.207641768847593455e-03,1.880082668178527578e-04,7.382524823633974942e-04,3.465091647306351780e-05,8.043798578012480876e-05,2.000527966159666438e-01,1.010367659676599233e-03
